plant_st,plant_name,fac_code,prim_mov,prim_fuel,tot_MW,cf,tot_MWh,nox_rate,so2_rate,co2_rate,ch4_rate,n2o_rate,co2eq_rate
NY,Black River,2546,ADD,WAT,6,0.53,27880,0,0,0,0,0,0
NY,Black River Generation,10464,ADD,,55.5,0,0,0,0,0,0,0,0
NY,Black River Hydro Associates,10687,ADD,WAT,5.7,0.17,8372,0,0,0,0,0,0
NY,Blake,2547,ADD,WAT,15,0.39,51397,0,0,0,0,0,0
NY,Blenheim Gilboa,2691,ADD,WAT,1000,-0.01,-92664,0,0,0,0,0,0
NY,Bowline Point,2625,ADD,NG,1242,0.04,381649,1.54,0.02,1384.64,27.16,2.72,1386.06
NY,Brentwood,7912,ADD,NG,47,0.18,72264,0.1,0.01,1145,22.41,2.24,1146.17
NY,Bronx Zoo,50427,ADD,NG,3.6,0.63,19852.84,1.5,0.02,648.91,12.91,1.29,649.59
NY,Brookfield Power Glen Falls Hydro,56936,ADD,WAT,11.8,0.54,55892,0,0,0,0,0,0
NY,Brookhaven Facility,55778,ADD,LFG,3.9,0.05,1829,0,0,0,0,0,0
NY,Brooklyn Navy Yard Cogeneration,54914,ADD,NG,322,0.59,1672161.96,0.04,0,693.32,13.56,1.36,694.02
NY,Browns Falls,2548,ADD,WAT,16,0.31,43518,0,0,0,0,0,0
NY,C R Huntley Generating Station,2549,ADD,SUB,400,0.2,707472,1.5,7.68,2289.27,25.39,38.08,2301.61
NY,Cadyville,2522,ADD,WAT,5.5,0.51,24436,0,0,0,0,0,0
NY,Caithness Long Island Energy Center,56234,ADD,NG,348.9,0.74,2250535.02,0.05,0,816.31,15.97,1.6,817.14
NY,Carr Street Generating Station,50978,ADD,NG,122.6,0.06,66691,0.23,0,954.83,18.69,1.87,955.8
NY,Carthage Energy LLC,10620,ADD,NG,62.9,0.04,24415,1.21,0.01,1067.41,20.89,2.09,1068.5
NY,Castleton Energy Center,10190,ADD,NG,72,0.16,100329,0.61,0.01,961.94,18.82,1.89,962.92
NY,Catskill Mts Energy Corporation,57129,ADD,LFG,1.1,0.05,524,0,0,0,0,0,0
NY,Cayuga Operating Company,2535,ADD,BIT,322.5,0.17,466704,3.59,6.62,2377.5,26.95,40.42,2390.6
NY,Cellu Tissue Natural Dam,54878,ADD,WAT,1,0.54,4697,0,0,0,0,0,0
NY,Center Falls,10853,ADD,WAT,1.1,0,1,0,0,0,0,0,0
NY,Central Hudson High Falls,579,ADD,WAT,3.2,0.13,3764,0,0,0,0,0,0
NY,CH Resources Beaver Falls,10617,ADD,NG,107.8,0.01,6502,0.62,0.01,1091.01,21.35,2.14,1092.12
NY,CH Resources Syracuse,10621,ADD,NG,102.7,0.02,15272,1.18,0.01,1074.55,21.03,2.11,1075.64
NY,Chaffee Gas Recovery,56526,ADD,LFG,6.4,0.93,52172,0,0,0,0,0,0
NY,Charles P Keller,2695,ADD,NG,33.8,0.01,1522,14.75,1.57,3225.23,91.99,14.41,3231.63
NY,Charles Poletti,2491,ADD,RFO,883,0,0,0,0,0,0,0,0
NY,Chasm,2550,ADD,WAT,3,0.51,13470,0,0,0,0,0,0
NY,Chasm Hydro Partnership,50315,ADD,WAT,1.6,0.46,6500,0,0,0,0,0,0
NY,Chateaugay High Falls Hydro,50093,ADD,WAT,1.7,0.48,7199,0,0,0,0,0,0
